Site,Depth,Time,CO2,CH4,N2O,DOC,FeII,CO2Pr,CH4Pr,N2OPr,DOCPr,FeIIPr,CO2sd,CH4sd,N2Osd,Fesd,NH4,NH4sd,NO3,NO3sd,SO4,SO4sd,DOC sd
Burned 3,0-12 cm,4,1053.536,1.5273669,8.645772,15.54078328,2.06843112,79.4769,0.0071578,-0.941379,3.82448646,1.210923524,30.76885904,0.345904641,0.20582983,0.012641463,1.473973179,0.011155761,0.1569049,0.015649006,1.191778682,0.080640314,1.141421548
Burned 3,0-12 cm,5,1205.7365,1.8831958,8.458082,15.44708106,2.337439665,152.2005,0.3558289,-0.18769,-0.09370222,0.269008545,85.59076195,0.022962133,0.063529468,0.002515115,1.236771638,0.046601032,0.187909398,0.04677114,1.174859647,0.130080141,2.279730482
Burned 3,0-12 cm,6,1522.4148,2.0554829,7.273492,26.40045576,1.795800828,316.6783,0.1722871,-1.18459,10.9533747,-0.541638837,33.45735818,0.230092184,0.368809529,0.041078973,0.863815915,0.049867231,0.070667836,0.007962297,0.667957823,0.086553672,0.043092541
Burned 3,0-12 cm,24,3553.4805,3.0651371,6.411913,23.99134469,3.781248433,,,,,,90.1825466,0.225510615,0.695069228,0.07034551,1.051791312,0.01817001,0.063879388,0.002323847,0.518867785,0.119235642,1.404607786
Burned 3,0-12 cm,48,3903.5321,3.6798627,4.475291,19.8521907,3.724934808,,,,,,91.7909196,0.14337591,0.172470943,0.085394252,1.153529498,0.042544136,0.080660854,0.006836221,0.037912202,0.007231014,2.062850365
Burned 3,0-12 cm,72,3577.7796,3.685388,3.77642,15.00075908,3.07118819,,,,,,126.7599169,0.191595934,0.054678447,0.033283165,1.751873532,0.056447004,0.133563732,0.042528683,0.274803676,0.003684766,1.837810566
Burned 3,0-12 cm,96,3043.578,3.9721652,1.256428,11.64304008,2.790685119,,,,,,1.003540375,0.308297806,0.068423882,0.011537807,1.551936184,0.081758752,0.070955809,0.004923223,0.076798859,0.00156393,2.350384918
Burned 3,0-12 cm,120,3172.8716,4.1392992,0.180827,17.80664739,3.937415127,,,,,,105.4977786,0.036487036,0.073807124,0.004178398,1.802877967,0.067636976,0.017592633,0.0082076,0.148362197,0.076108415,1.483399762
Burned 3,0-12 cm,144,3280.4679,4.3768905,8.24E-02,1.17561085,4.892949017,,,,,,138.8907867,0.017191781,0.00809525,0.08387466,1.627604248,0.0429096,0.025394409,0.003109249,0.325575918,0.046076147,2.308563141
Burned 3,12-24 cm,1,169.275832,0.07270369,3.190803,0.982408543,0.088350419,169.275832,0.07270369,3.190803,0.982408543,0.088350419,13.55509605,0.232197239,0.409336738,0.012944566,0.065406404,0.009673324,0.730413989,0.026483175,1.55375419,0.112310591,0.127299388
Burned 3,12-24 cm,2,182.062936,0.4804666,33.717654,5.139657604,0.413797933,12.787104,0.40776291,30.526851,4.157249061,0.325447514,27.47751717,0.329858949,0.022613017,0.05116139,0.109344441,0.012832653,0.721696882,0.058993492,2.49148662,0.092364756,0.66756717
Burned 3,12-24 cm,3,240.232256,0.631222,29.202507,10.66445457,0.153303273,58.16932,0.1507554,-4.515147,5.524796966,-0.26049466,13.30763735,0.262909963,0.49165065,0.044136232,0.114811377,0.049558827,0.651463777,0.039368554,3.204402434,0.111591796,2.180096939
Burned 3,12-24 cm,4,290.945688,0.69350788,2.415603,24.27518958,0.304541221,50.713432,0.06228588,-26.786904,13.61073501,0.151237948,27.0893387,0.238162575,0.196547866,0.056592349,0.32316002,0.017811138,0.550985626,0.035074773,2.974080904,0.095134088,1.749472128
Burned 3,12-24 cm,5,311.49756,0.72719002,2.042589,21.9672503,1.26034115,20.551872,0.03368214,-0.373014,-2.30793928,0.955799929,15.64131119,0.6248341,0.27837564,0.014847001,0.427742044,0.06801519,0.485128922,0.071652409,2.413822598,0.116223044,2.347306984
Burned 3,12-24 cm,6,455.072024,1.0846645,1.986931,33.07080529,1.165455076,143.574464,0.35747448,-0.055658,11.10355499,-0.094886074,84.6340807,0.222266495,0.021853993,0.084448229,0.266343331,0.004978545,0.334839705,0.006294029,2.384918908,0.138913778,1.447162813
Burned 3,12-24 cm,24,576.908728,1.18425501,1.570179,14.29506991,1.327055393,,,,,,140.033793,0.1552796,0.065632555,0.022636475,0.505270429,0.075697471,0.331026104,0.049274876,1.869906362,0.036178658,0.285589247
Burned 3,12-24 cm,48,644.138616,3.54842102,1.559023,22.84982789,1.341306164,,,,,,30.43152659,0.575136665,0.042073889,0.079879132,0.698072801,0.00435556,0.301926449,0.061908909,1.649355006,0.139504113,2.197470937
Burned 3,12-24 cm,72,685.026056,4.79949659,1.442548,10.20056977,2.909449173,,,,,,106.6159582,0.51358874,0.378402871,0.026110059,1.166317923,0.028871626,0.190738102,0.030757392,1.466423684,0.000905624,2.271302615
Burned 3,12-24 cm,96,1178.512544,4.93108371,1.379177,8.313544727,3.628426855,,,,,,68.2628423,0.974364585,0.06261792,0.07171492,1.556740098,0.047234989,0.134696227,0.020639053,1.216566922,0.107644108,2.534237226
Burned 3,12-24 cm,120,1265.844624,4.94417471,0.63943,18.81565968,4.055591621,,,,,,112.6778377,0.68256141,0.055336592,0.015640784,1.852635423,0.074154639,0.075175392,0.00508918,1.174840431,0.134000839,1.720601588
Burned 3,12-24 cm,144,1392.416608,5.61770528,0.618566,14.66558445,3.456288897,,,,,,122.9916437,0.90476541,0.03845148,0.035450937,2.221509856,0.055469385,0.071872514,0.01257768,0.702177046,0.151973298,1.190951656
Burned 3,12-24 cm,168,1414.28144,5.97402547,0.390451,28.51440171,3.395654033,,,,,,62.3325034,0.20728055,0.017595747,0.080307315,1.942483112,0.065629363,0.00065832,,0.109654612,0.00391109,1.283776647
Unburned,0-12 cm,1,79.7397128,0.236403,5.577922,4.142273303,0.227840036,79.7397128,0.236403,5.577922,4.142273303,0.227840036,17.70874679,0.092033045,0.306182692,0.030268575,0.241981424,0.051152097,0.251432321,0.053220199,1.640051794,0.058984369,0.241065652
Unburned,0-12 cm,2,310.4660504,1.568795,56.048725,4.775751626,0.703049439,230.7263376,1.332392,50.470803,0.633478323,0.475209403,58.86764275,0.282010713,0.681209383,0.079074226,0.195177777,0.042626384,0.199493035,0.032694739,1.711262201,0.087853912,0.46478926
Unburned,0-12 cm,3,335.9157384,1.561708,54.838595,6.55142074,0.018553977,25.449688,-0.007087,-1.21013,1.775669114,-0.684495462,17.39257285,0.167283483,0.085210218,0.00890877,0.186582628,0.025773814,0.185558778,0.061161363,1.453722495,0.083603827,0.863536263
Unburned,0-12 cm,4,581.734956,1.423849,5.269705,5.986633408,0.169947564,245.8192176,-0.137859,-49.56889,-0.564787332,0.151393587,114.4529208,0.121479201,0.313077654,0.034600375,0.157757501,0.083932318,0.098195121,0.005635257,1.952417047,0.094589844,1.135402182
Unburned,0-12 cm,5,803.6314088,1.819608,4.351804,3.724301141,0.17966271,221.8964528,0.395759,-0.917901,-2.262332267,0.009715146,26.62056644,0.186426959,0.446134113,0.04130391,0.295904253,0.07130464,0.632773242,0.066662588,1.300187052,0.049342339,0.084654759
Unburned,0-12 cm,6,1072.774648,2.112836,3.286797,2.317972492,0.079132506,269.1432392,0.293228,-1.065007,-1.406328649,-0.100530204,78.1974099,0.348001429,0.09431091,0.058788628,0.284985623,0.017057473,0.062315821,0.007202611,1.186801699,0.154762254,0.228606323
Unburned,0-12 cm,24,1330.730403,4.147386,3.201041,5.829264812,2.274668835,,,,,,29.58642788,0.43762598,0.328421878,0.006608104,0.156661796,0.030778472,0.040853227,0.003034825,0.894147056,0.083856779,1.400932708
Unburned,0-12 cm,48,1640.081476,5.732905,3.074615,7.121660807,1.478005202,,,,,,109.9107128,0.189473701,0.074765318,0.067361967,0.371677869,0.086801099,0.079787578,0.003881696,1.05862397,0.096054609,0.982780098
Unburned,0-12 cm,72,1768.003714,7.866875,2.801031,10.6383682,1.319565579,,,,,,44.06881401,1.215697696,0.162996141,0.037350652,0.272138199,0.017928764,0.088491754,0.003565262,0.610104041,0.130086568,2.72770857
Unburned,0-12 cm,96,1960.594979,10.746804,2.160149,4.54454681,2.181606613,,,,,,25.87274923,2.26114964,0.0209807,0.057209009,0.509834466,0.089341482,0.055609956,0.003324928,0.137650308,0.049142703,0.82591057
Unburned,0-12 cm,120,1852.781955,15.780055,1.667167,13.61913506,2.163606576,,,,,,0.46938743,1.24884647,0.222240173,0.039831389,0.531571383,0.002297706,0.021238018,0.0030347,0.134486051,0.031181503,2.43122552
Unburned,0-12 cm,144,2012.248216,16.126657,0.784549,14.98350804,2.018285706,,,,,,5.09589496,2.267230899,0.021499323,0.070513015,0.687433755,0.083516178,0.033729949,0.00632542,0.27233198,0.01650275,0.795519688
Unburned,0-12 cm,168,2438.88641,18.339875,0.510376,17.32984917,3.295630733,,,,,,107.5816106,3.16208169,0.041849568,0.002595527,0.861851556,0.023337093,0.029058668,0.002504619,0.079117323,0.01275087,1.784010488
Unburned,12-24 cm,1,186.519784,0.030868,1.493808,1.12287933,0.189625957,186.52,0.0308,1.4938,1.122879,0.189626,17.11776035,0.004225299,0.112908316,0.011591201,0.021158623,0.03564652,0.477440016,0.005267908,1.185783148,0.065243419,2.786300671
Unburned,12-24 cm,2,231.958584,0.176432,17.241325,6.125002609,0.871006034,45.4388,0.145564,15.747517,5.002123279,0.681380077,11.4141448,0.09318285,0.32297413,0.008506268,0.197957019,0.084663345,0.413562175,0.046286438,1.613536647,0.149102905,2.101667979
Unburned,12-24 cm,3,338.150296,0.251536,16.976868,17.7804515,0.132427749,106.191712,0.075104,-0.264457,11.65544889,-0.738578285,34.36390075,0.07684267,0.145828421,0.031807148,0.297095418,0.073287487,0.401618215,0.02639905,1.702541208,0.041115928,0.247554782
Unburned,12-24 cm,4,355.30484,0.84268,1.54653,17.65444196,0.944790368,17.154544,0.591144,-15.430338,-0.12600954,0.812362619,54.1283772,0.17323938,0.043243942,0.012978708,0.354312686,0.078311362,0.379474551,0.05691464,1.155350506,0.116677467,1.045649527
Unburned,12-24 cm,5,440.364144,0.993202,1.433112,14.59872121,0.016323249,85.059304,0.150522,-0.113418,-3.05572075,-0.928467119,6.274867405,0.27918776,0.112335547,0.0031041,0.454701963,0.049666649,0.373698562,0.03817912,1.205668545,0.115943526,2.486257832
Unburned,12-24 cm,6,496.880912,1.426158,1.386456,16.70431594,0.786198501,56.516768,0.432956,-0.046656,2.10559473,0.769875252,85.5060169,0.34859,0.215799989,0.067627416,0.502508286,0.060028401,0.307215643,0.0322549,1.047391242,0.022723162,0.064033896
Unburned,12-24 cm,24,549.36816,2.459648,1.174906,16.95420252,0.171980161,,,,,,67.14839015,0.19680838,0.049312445,0.008269237,0.628951086,0.066272672,0.242397858,0.050048834,1.008231922,0.150211004,2.447909522
Unburned,12-24 cm,48,623.090072,3.874556,1.101312,11.68536893,1.195691509,,,,,,74.5403912,0.59196482,0.043835275,0.015730601,0.687670671,0.004524174,0.230809884,0.059813032,0.71763663,0.149290364,0.92290017
Unburned,12-24 cm,72,662.353736,5.072704,0.999899,19.21980699,0.941277257,,,,,,116.8242232,1.321003835,0.059629102,0.036421034,0.71093673,0.001263103,0.218383846,0.014425288,0.787683678,0.176214445,1.092048415
Unburned,12-24 cm,96,713.618664,6.74198,0.864354,10.71647162,1.829130986,,,,,,137.7839718,1.05862645,0.067511142,0.017321661,0.998944846,0.083098165,0.180882931,0.033266109,0.681145011,0.054857535,0.534373348
Unburned,12-24 cm,120,748.607024,7.060181,0.360223,16.26389266,1.713939765,,,,,,10.84397877,1.219771395,0.040317026,0.049387372,0.867258576,0.044211623,0.168038753,0.027464321,0.460543938,0.091406981,2.395262402
Unburned,12-24 cm,144,840.50956,7.206458,0.257446,10.60619196,1.848775282,,,,,,142.3234515,0.68361326,0.018406745,0.003757152,0.992247015,0.043620413,0.079562309,0.006604358,0.521392621,0.075541052,2.393766624
Unburned,12-24 cm,168,1013.355904,7.75403,0.145488,15.82770842,1.541473798,,,,,,83.03066525,1.71339721,0.057418331,0.046062371,0.946038557,0.045896949,0.030891863,0.000971789,0.359854086,0.000405874,2.830878198
